client_id,client_name,region,created_date
C0001,Thomas Group,Northeast,2024-01-11
C0002,"Austin, Eaton and Bowen",South,2024-04-06
C0003,Graham Ltd,Midwest,2024-02-25
C0004,White Inc,Northeast,2024-09-20
C0005,Marks-Bush,Northeast,2024-08-18
C0006,Johnson-Cooper,West,2024-01-14
C0007,Davis-Thomas,Northeast,2024-02-07
C0008,Bradley and Sons,Midwest,2024-04-01
C0009,"Gutierrez, Smith and Morton",Northeast,2024-08-06
C0010,Drake Inc,Midwest,2024-10-06
C0011,Johnson LLC,West,2024-03-27
C0012,Clark and Sons,West,2024-08-17
C0013,"Thomas, Silva and Hicks",South,2024-11-11
C0014,Long and Sons,Northeast,2024-10-22
C0015,Ramos Inc,Midwest,2024-09-29
C0016,Johnson and Sons,West,2024-05-13
C0017,Lopez-Medina,South,2024-03-02
C0018,Hawkins-Olson,Midwest,2024-10-24
C0019,Boone-Holland,South,2024-02-10
C0020,Odonnell Inc,Northeast,2024-05-28
C0021,"Miller, Sullivan and Molina",Northeast,2024-05-20
C0022,Williams LLC,South,2024-08-23
C0023,Morrison-Burton,South,2024-11-10
C0024,"Stout, Fleming and Bell",Northeast,2024-10-11
C0025,"Johnson, Henry and Khan",West,2024-07-28
C0026,"Cox, Ware and Jarvis",Northeast,2024-12-25
C0027,"Wagner, Lopez and Gutierrez",West,2024-02-01
C0028,Gardner PLC,South,2024-11-19
C0029,Lewis Group,South,2024-08-13
C0030,Jackson and Sons,Midwest,2024-10-01
C0031,Farrell Group,Northeast,2024-01-19
C0032,Skinner-Norton,Midwest,2024-10-28
C0033,"Howard, Fisher and Taylor",South,2024-02-01
C0034,"Yang, Coleman and Becker",Midwest,2024-12-03
C0035,"Holmes, Houston and Schmitt",Northeast,2024-05-28
C0036,Copeland-Wilson,South,2024-06-26
C0037,Meyer-Collier,South,2024-03-05
C0038,Wade PLC,South,2024-05-18
C0039,Powell-Osborne,Midwest,2024-09-18
C0040,"Watson, Mathis and Brown",South,2024-09-30
C0041,Howard-Jones,Northeast,2024-08-25
C0042,Villanueva-Pitts,Midwest,2024-07-27
C0043,"Alvarez, Gray and Carr",Midwest,2024-03-05
C0044,"Tucker, Haley and Moyer",West,2024-05-28
C0045,Campbell-Howard,South,2024-12-26
C0046,Dennis Inc,Midwest,2024-09-23
C0047,Merritt-Simmons,South,2024-11-24
C0048,"Edwards, Anderson and Miller",Northeast,2024-03-30
C0049,Norton-Hansen,Northeast,2024-11-09
C0050,Spencer LLC,South,2024-06-05
C0051,"Boone, Morgan and Smith",South,2024-01-27
C0052,Paul-Clark,Midwest,2024-12-21
C0053,Durham Ltd,South,2024-03-24
C0054,"Parrish, Thomas and Cox",West,2024-06-03
C0055,Steele-Jensen,West,2024-02-26
C0056,Pineda LLC,South,2024-02-25
C0057,Haley Inc,Midwest,2024-10-17
C0058,"Salazar, Soto and Adams",South,2024-10-18
C0059,"Johnson, Cruz and Moore",West,2024-12-15
C0060,Curtis-Price,West,2024-05-21
C0061,"Cabrera, Wood and Lucero",Midwest,2024-02-24
