order_id,email_count,call_count,first_response_time_hours,followup_count
ORD000001,1,2,5.51,2
ORD000002,1,1,0.95,1
ORD000003,1,0,4.3,0
ORD000004,0,1,5.3,0
ORD000005,1,0,3.79,0
ORD000006,0,1,1.16,0
ORD000007,2,0,5.12,1
ORD000008,0,1,2.35,0
ORD000009,2,0,7.56,1
ORD000010,2,0,5.62,1
ORD000011,4,0,2.22,3
ORD000012,2,0,1.25,1
ORD000013,0,0,3.26,0
ORD000014,0,1,1.66,0
ORD000015,0,0,3.6,0
ORD000016,2,0,6.89,1
ORD000017,0,0,6.09,0
ORD000018,1,0,7.61,0
ORD000019,1,0,4.12,0
ORD000020,4,0,1.36,3
ORD000021,0,0,1.96,0
ORD000022,3,1,1.52,3
ORD000023,3,1,3.69,3
ORD000024,0,3,3.32,2
ORD000025,3,0,4.68,2
ORD000026,2,2,3.18,3
ORD000027,3,1,4.09,3
ORD000028,1,0,3.16,0
ORD000029,2,1,2.95,2
ORD000030,2,0,4.39,1
ORD000031,1,0,5.05,0
ORD000032,1,0,5.58,0
ORD000033,0,0,9.24,0
ORD000034,1,0,1.27,0
ORD000035,0,2,2.1,1
ORD000036,0,0,2.07,0
ORD000037,0,1,5.0,0
ORD000038,2,1,4.33,2
ORD000039,1,1,5.25,1
ORD000040,2,0,2.78,1
ORD000041,0,0,4.38,0
ORD000042,0,0,3.3,0
ORD000043,0,2,2.22,1
ORD000044,3,0,2.26,2
ORD000045,1,0,3.0,0
ORD000046,0,1,3.82,0
ORD000047,1,1,5.42,1
ORD000048,1,0,5.4,0
ORD000049,0,2,9.26,1
ORD000050,2,1,3.04,2
ORD000051,3,0,3.09,2
ORD000052,0,0,7.57,0
ORD000053,0,0,5.38,0
ORD000054,2,0,7.15,1
ORD000055,0,0,4.84,0
ORD000056,0,0,1.71,0
ORD000057,0,0,1.87,0
ORD000058,1,1,0.76,1
ORD000059,1,0,2.07,0
ORD000060,0,0,2.59,0
ORD000061,0,0,0.69,0
ORD000062,0,0,2.43,0
ORD000063,1,0,5.52,0
ORD000064,0,0,4.21,0
ORD000065,0,1,1.79,0
ORD000066,2,0,2.85,1
ORD000067,1,0,1.65,0
ORD000068,1,0,3.53,0
ORD000069,0,1,2.13,0
ORD000070,0,0,3.17,0
ORD000071,0,1,2.32,0
ORD000072,0,1,0.79,0
ORD000073,0,2,4.77,1
ORD000074,0,0,4.18,0
ORD000075,1,1,3.82,1
ORD000076,0,1,3.77,0
ORD000077,2,1,7.37,2
ORD000078,2,1,4.28,2
ORD000079,1,0,5.79,0
ORD000080,2,0,1.11,1
ORD000081,1,1,2.55,1
ORD000082,1,0,4.1,0
ORD000083,1,1,3.29,1
ORD000084,0,1,1.55,0
ORD000085,1,0,3.09,0
ORD000086,1,0,1.89,0
ORD000087,0,1,3.33,0
ORD000088,1,1,3.92,1
ORD000089,2,0,8.66,1
ORD000090,1,2,0.98,2
ORD000091,1,0,1.08,0
ORD000092,0,1,1.67,0
ORD000093,2,1,5.42,2
ORD000094,0,1,1.94,0
ORD000095,1,2,6.78,2
ORD000096,0,0,1.21,0
ORD000097,1,0,2.46,0
ORD000098,0,1,5.97,0
ORD000099,2,1,4.33,2
ORD000100,0,1,3.4,0
ORD000101,4,1,5.65,4
ORD000102,0,0,4.06,0
ORD000103,1,2,0.94,2
ORD000104,3,1,5.69,3
ORD000105,0,0,5.8,0
ORD000106,1,0,3.46,0
ORD000107,0,1,2.02,0
ORD000108,0,1,2.1,0
ORD000109,2,1,1.49,2
ORD000110,5,0,2.38,4
ORD000111,0,0,8.82,0
ORD000112,2,1,1.78,2
ORD000113,1,2,7.53,2
ORD000114,2,0,4.04,1
ORD000115,1,1,11.0,1
ORD000116,0,0,3.84,0
ORD000117,1,3,5.36,3
ORD000118,1,0,2.89,0
ORD000119,0,0,5.43,0
ORD000120,1,0,2.83,0
ORD000121,3,2,7.14,4
ORD000122,2,0,4.6,1
ORD000123,0,1,2.4,0
ORD000124,1,0,1.99,0
ORD000125,0,1,2.92,0
ORD000126,0,0,0.88,0
ORD000127,0,1,1.94,0
ORD000128,1,1,1.86,1
ORD000129,2,0,6.38,1
ORD000130,1,1,2.25,1
ORD000131,0,3,4.68,2
ORD000132,2,0,2.81,1
ORD000133,1,0,5.63,0
ORD000134,2,2,1.7,3
ORD000135,0,1,7.29,0
ORD000136,0,1,2.85,0
ORD000137,0,1,1.39,0
ORD000138,2,1,6.26,2
ORD000139,2,0,2.94,1
ORD000140,2,0,3.94,1
ORD000141,0,2,1.61,1
ORD000142,2,1,4.04,2
ORD000143,1,1,3.93,1
ORD000144,3,1,3.66,3
ORD000145,1,0,3.24,0
ORD000146,1,0,2.5,0
ORD000147,1,0,5.9,0
ORD000148,3,0,4.21,2
ORD000149,0,1,3.56,0
ORD000150,0,0,2.83,0
ORD000151,0,1,3.15,0
ORD000152,3,0,4.7,2
ORD000153,2,0,8.58,1
ORD000154,1,2,10.88,2
ORD000155,1,0,7.96,0
ORD000156,1,2,8.03,2
ORD000157,0,1,2.66,0
ORD000158,0,1,1.89,0
ORD000159,1,0,9.66,0
ORD000160,1,0,3.15,0
ORD000161,2,0,5.76,1
ORD000162,0,1,1.35,0
ORD000163,3,1,3.67,3
ORD000164,0,1,1.91,0
ORD000165,0,0,4.2,0
ORD000166,1,0,3.1,0
ORD000167,2,0,4.31,1
ORD000168,0,0,2.82,0
ORD000169,2,1,3.61,2
ORD000170,0,0,2.63,0
ORD000171,0,0,0.63,0
ORD000172,0,0,5.1,0
ORD000173,0,1,2.93,0
ORD000174,1,1,1.53,1
ORD000175,2,0,3.12,1
ORD000176,0,1,1.68,0
ORD000177,1,0,1.96,0
ORD000178,1,0,6.6,0
ORD000179,3,0,10.61,2
ORD000180,1,0,1.55,0
ORD000181,2,1,3.52,2
ORD000182,1,0,2.03,0
ORD000183,3,0,4.37,2
ORD000184,1,0,1.72,0
ORD000185,2,1,1.54,2
ORD000186,2,0,1.84,1
ORD000187,0,1,2.13,0
ORD000188,1,1,10.01,1
ORD000189,3,0,2.29,2
ORD000190,0,1,2.77,0
ORD000191,1,1,2.5,1
ORD000192,0,1,1.04,0
ORD000193,0,0,0.54,0
ORD000194,3,0,3.6,2
ORD000195,0,1,3.74,0
ORD000196,0,1,5.11,0
ORD000197,2,1,2.19,2
ORD000198,0,1,2.17,0
ORD000199,1,0,2.41,0
ORD000200,1,0,1.64,0
ORD000201,0,0,5.17,0
ORD000202,2,0,4.08,1
ORD000203,1,1,6.12,1
ORD000204,1,1,2.01,1
ORD000205,1,1,2.32,1
ORD000206,0,0,5.69,0
ORD000207,3,1,7.01,3
ORD000208,2,1,14.21,2
ORD000209,0,0,6.58,0
ORD000210,0,0,4.17,0
ORD000211,2,1,2.48,2
ORD000212,0,1,3.39,0
ORD000213,4,0,1.64,3
ORD000214,2,1,0.92,2
ORD000215,0,1,4.04,0
ORD000216,0,1,2.19,0
ORD000217,1,0,2.51,0
ORD000218,1,0,8.38,0
ORD000219,0,1,6.03,0
ORD000220,3,0,4.42,2
ORD000221,2,0,6.61,1
ORD000222,3,1,2.7,3
ORD000223,0,1,0.87,0
ORD000224,1,0,2.12,0
ORD000225,0,0,3.53,0
ORD000226,1,2,1.45,2
ORD000227,0,0,3.28,0
ORD000228,1,0,0.8,0
ORD000229,2,1,2.72,2
ORD000230,0,0,3.21,0
ORD000231,0,1,1.62,0
ORD000232,1,3,2.01,3
ORD000233,1,0,5.91,0
ORD000234,0,0,6.94,0
ORD000235,0,0,2.28,0
ORD000236,1,0,3.02,0
ORD000237,0,1,7.84,0
ORD000238,1,0,4.72,0
ORD000239,1,0,4.87,0
ORD000240,2,1,1.79,2
ORD000241,1,0,9.73,0
ORD000242,0,3,1.22,2
ORD000243,2,0,5.07,1
ORD000244,1,0,1.94,0
ORD000245,1,1,2.66,1
ORD000246,2,0,2.6,1
ORD000247,0,2,5.02,1
ORD000248,0,0,5.71,0
ORD000249,0,0,2.75,0
ORD000250,2,0,2.63,1
ORD000251,0,2,1.9,1
ORD000252,1,1,3.05,1
ORD000253,3,0,4.8,2
ORD000254,0,1,2.95,0
ORD000255,0,1,3.03,0
ORD000256,0,0,1.79,0
ORD000257,2,1,3.37,2
ORD000258,4,0,1.84,3
ORD000259,1,0,2.79,0
ORD000260,1,1,2.48,1
ORD000261,1,1,1.75,1
ORD000262,0,0,2.72,0
ORD000263,0,0,1.83,0
ORD000264,2,1,3.03,2
ORD000265,0,0,3.37,0
ORD000266,2,3,1.34,4
ORD000267,1,0,1.86,0
ORD000268,1,0,3.45,0
ORD000269,2,1,1.65,2
ORD000270,2,0,3.97,1
ORD000271,0,1,10.52,0
ORD000272,1,0,2.49,0
ORD000273,0,0,1.43,0
ORD000274,1,0,3.96,0
ORD000275,1,1,1.42,1
ORD000276,0,1,2.65,0
ORD000277,1,0,2.89,0
ORD000278,1,2,6.64,2
ORD000279,0,0,1.42,0
ORD000280,2,1,4.53,2
ORD000281,1,1,7.44,1
ORD000282,2,1,3.39,2
ORD000283,0,0,1.11,0
ORD000284,0,1,0.78,0
ORD000285,1,0,5.9,0
ORD000286,3,1,2.58,3
ORD000287,3,0,4.11,2
ORD000288,1,2,19.41,2
ORD000289,0,3,1.55,2
ORD000290,1,1,5.0,1
ORD000291,1,0,6.63,0
ORD000292,1,0,2.54,0
ORD000293,2,1,9.59,2
ORD000294,0,1,1.21,0
ORD000295,0,0,2.02,0
ORD000296,0,0,2.23,0
ORD000297,1,0,3.15,0
ORD000298,1,0,2.02,0
ORD000299,2,0,3.06,1
ORD000300,1,0,6.62,0
ORD000301,2,0,3.55,1
ORD000302,2,1,4.09,2
ORD000303,2,0,2.76,1
ORD000304,1,1,6.88,1
ORD000305,0,0,1.99,0
ORD000306,1,3,7.33,3
ORD000307,0,0,8.39,0
ORD000308,1,1,4.63,1
ORD000309,1,0,6.04,0
ORD000310,0,1,2.97,0
ORD000311,3,0,1.61,2
ORD000312,0,2,4.14,1
ORD000313,1,2,0.83,2
ORD000314,1,0,4.14,0
ORD000315,1,0,5.21,0
ORD000316,0,0,1.41,0
ORD000317,0,2,2.14,1
ORD000318,1,1,1.66,1
ORD000319,1,0,2.35,0
ORD000320,1,1,1.9,1
ORD000321,3,0,8.63,2
ORD000322,1,1,3.47,1
ORD000323,0,1,3.09,0
ORD000324,1,0,1.77,0
ORD000325,1,2,1.82,2
ORD000326,2,1,4.82,2
ORD000327,3,1,3.97,3
ORD000328,0,0,5.26,0
ORD000329,0,0,5.16,0
ORD000330,2,0,5.13,1
ORD000331,3,0,4.35,2
ORD000332,0,0,2.89,0
ORD000333,2,3,7.25,4
ORD000334,3,0,1.85,2
ORD000335,1,1,2.1,1
ORD000336,1,1,6.67,1
ORD000337,0,2,7.53,1
ORD000338,2,0,4.18,1
ORD000339,2,0,3.61,1
ORD000340,1,0,2.18,0
ORD000341,0,1,1.51,0
ORD000342,0,1,2.29,0
ORD000343,2,2,6.55,3
ORD000344,4,0,3.2,3
ORD000345,0,0,1.19,0
ORD000346,0,1,4.01,0
ORD000347,1,0,1.66,0
ORD000348,0,1,1.81,0
ORD000349,0,0,1.97,0
ORD000350,0,0,2.16,0
ORD000351,2,0,3.26,1
ORD000352,0,0,6.79,0
ORD000353,1,0,7.97,0
ORD000354,0,0,3.58,0
ORD000355,1,0,3.43,0
ORD000356,0,1,4.77,0
ORD000357,2,0,3.76,1
ORD000358,0,0,2.96,0
ORD000359,1,0,5.12,0
ORD000360,0,0,3.78,0
ORD000361,0,1,3.01,0
ORD000362,0,1,2.51,0
ORD000363,1,0,2.24,0
ORD000364,1,0,6.54,0
ORD000365,1,1,4.19,1
ORD000366,1,0,7.27,0
ORD000367,2,0,1.42,1
ORD000368,0,1,1.51,0
ORD000369,3,0,4.9,2
ORD000370,1,3,1.84,3
ORD000371,1,0,1.91,0
ORD000372,0,0,9.9,0
ORD000373,1,0,3.57,0
ORD000374,1,0,2.83,0
ORD000375,0,0,10.47,0
ORD000376,0,0,3.94,0
ORD000377,1,1,2.61,1
ORD000378,0,0,5.6,0
ORD000379,1,0,2.28,0
ORD000380,1,0,3.93,0
ORD000381,1,0,3.93,0
ORD000382,1,2,2.06,2
ORD000383,2,0,1.03,1
ORD000384,2,0,3.03,1
ORD000385,1,0,2.14,0
ORD000386,1,0,6.04,0
ORD000387,0,0,3.42,0
ORD000388,0,1,2.71,0
ORD000389,0,0,5.08,0
ORD000390,1,0,2.26,0
ORD000391,0,0,8.11,0
ORD000392,2,0,2.22,1
ORD000393,0,1,7.95,0
ORD000394,2,1,7.37,2
ORD000395,1,0,3.07,0
ORD000396,0,0,2.41,0
ORD000397,0,0,2.4,0
ORD000398,0,0,4.61,0
ORD000399,0,0,3.96,0
ORD000400,1,2,1.91,2
ORD000401,0,0,1.51,0
ORD000402,1,0,4.61,0
ORD000403,2,0,3.88,1
ORD000404,1,1,2.0,1
ORD000405,2,0,8.27,1
ORD000406,2,0,4.73,1
ORD000407,2,0,7.63,1
ORD000408,0,1,2.48,0
ORD000409,0,1,3.15,0
ORD000410,0,1,1.86,0
ORD000411,3,1,3.48,3
ORD000412,2,0,1.96,1
ORD000413,1,1,3.57,1
ORD000414,0,0,6.78,0
ORD000415,1,0,5.08,0
ORD000416,3,1,3.54,3
ORD000417,0,1,1.71,0
ORD000418,1,0,1.63,0
ORD000419,0,0,3.16,0
ORD000420,0,0,3.56,0
ORD000421,2,1,2.75,2
ORD000422,0,1,5.51,0
ORD000423,1,0,1.67,0
ORD000424,1,1,2.39,1
ORD000425,0,0,3.25,0
ORD000426,0,1,1.68,0
ORD000427,1,1,3.5,1
ORD000428,0,0,4.87,0
ORD000429,1,0,7.34,0
ORD000430,0,0,1.84,0
ORD000431,0,0,4.99,0
ORD000432,1,0,3.4,0
ORD000433,1,1,3.86,1
ORD000434,1,0,1.4,0
ORD000435,0,0,2.22,0
ORD000436,1,1,0.67,1
ORD000437,2,1,1.93,2
ORD000438,1,2,1.35,2
ORD000439,0,3,3.23,2
ORD000440,1,0,8.69,0
ORD000441,1,0,4.07,0
ORD000442,2,1,2.18,2
ORD000443,0,0,3.1,0
ORD000444,3,0,7.84,2
ORD000445,2,1,5.83,2
ORD000446,1,0,1.49,0
ORD000447,1,1,1.6,1
ORD000448,2,0,8.73,1
ORD000449,1,0,1.24,0
ORD000450,0,0,3.23,0
ORD000451,1,0,0.67,0
ORD000452,0,0,2.24,0
ORD000453,0,0,3.39,0
ORD000454,0,1,2.37,0
ORD000455,4,0,1.24,3
ORD000456,0,0,3.15,0
ORD000457,1,0,1.87,0
ORD000458,2,0,4.67,1
ORD000459,2,0,1.03,1
ORD000460,3,1,4.7,3
ORD000461,0,0,2.94,0
ORD000462,1,0,3.27,0
ORD000463,1,1,2.49,1
ORD000464,1,1,5.07,1
ORD000465,1,1,2.86,1
ORD000466,2,2,2.74,3
ORD000467,0,2,3.15,1
ORD000468,0,0,8.11,0
ORD000469,2,0,5.29,1
ORD000470,1,1,8.35,1
ORD000471,0,2,8.09,1
ORD000472,0,0,1.34,0
ORD000473,2,0,3.03,1
ORD000474,0,0,2.75,0
ORD000475,3,0,7.41,2
ORD000476,0,0,6.57,0
ORD000477,0,0,1.87,0
ORD000478,3,0,1.44,2
ORD000479,0,1,1.49,0
ORD000480,0,1,6.57,0
ORD000481,4,0,3.76,3
ORD000482,1,0,3.31,0
ORD000483,1,0,3.19,0
ORD000484,1,1,1.48,1
ORD000485,0,0,4.01,0
ORD000486,1,0,3.77,0
ORD000487,0,1,4.94,0
ORD000488,1,1,4.86,1
ORD000489,0,0,1.31,0
ORD000490,0,1,2.92,0
ORD000491,0,1,3.3,0
ORD000492,0,2,1.1,1
ORD000493,2,0,6.0,1
ORD000494,1,1,2.14,1
ORD000495,1,0,1.72,0
ORD000496,0,0,1.14,0
ORD000497,2,1,1.47,2
ORD000498,1,0,2.16,0
ORD000499,0,0,4.66,0
ORD000500,0,0,2.5,0
ORD000501,0,0,3.74,0
ORD000502,3,0,3.8,2
ORD000503,1,0,3.17,0
ORD000504,3,1,4.71,3
ORD000505,1,1,4.48,1
ORD000506,0,0,4.39,0
ORD000507,0,0,3.38,0
ORD000508,0,0,2.64,0
ORD000509,1,0,1.28,0
ORD000510,4,0,2.47,3
ORD000511,0,0,2.63,0
ORD000512,1,0,7.16,0
ORD000513,1,1,3.38,1
ORD000514,3,0,2.05,2
ORD000515,0,1,0.9,0
ORD000516,1,0,7.26,0
ORD000517,1,0,3.78,0
ORD000518,2,2,1.62,3
ORD000519,2,1,2.23,2
ORD000520,0,0,4.71,0
ORD000521,2,1,2.77,2
ORD000522,0,0,7.73,0
ORD000523,2,1,2.65,2
ORD000524,0,1,2.64,0
ORD000525,1,0,1.0,0
ORD000526,0,0,7.43,0
ORD000527,2,0,5.39,1
